the_geom,ROUTE,NAME
"MULTILINESTRING ((-87.75480000023407 41.872929999614335, -87.75346999934038 41.87294999978841, -87.75326999996294 41.872949999979895, -87.75284000001834 41.872960000855684, -87.74916000036663 41.87303999973001, -87.74850000004946 41.87306000006246, -87.74841000036616 41.87305999998801, -87.7474899998263 41.873069999681796, -87.74677999978219 41.873099999877525, -87.74544000064141 41.87313000014876, -87.745220000385 41.873130000076685, -87.74500000086965 41.87315999993968, -87.74500000003886 41.87298000051759, -87.74498999958193 41.87272999945423, -87.74497000014655 41.87229999993476, -87.74496000091811 41.87205999986579, -87.74494999949842 41.87181000055532, -87.74494000048225 41.87163999950652, -87.74493999992042 41.87159999992312, -87.74495000028955 41.87145999995424, -87.74494999940678 41.871439999708684, -87.74494999961567 41.8712000004136, -87.74547999977933 41.87117999974825, -87.74636000044882 41.871159999738545, -87.74732000071913 41.87113999966783, -87.74907999982608 41.87110999992464, -87.75319000065244 41.87107999999353, -87.75379999978547 41.87106000037318, -87.75471999954704 41.87104999960096, -87.75471000092766 41.87132000026179, -87.75471999946744 41.87149999972163, -87.75472000006123 41.87169000024541, -87.75473000042302 41.871980000139565, -87.7547699999103 41.87245999948896, -87.75480000023407 41.872929999614335), (-87.75480000023407 41.872929999614335, -87.7548100000434 41.87323000045698, -87.75481000018196 41.873379999545264, -87.75480999929304 41.873469999711766, -87.75481999968996 41.87393999983861, -87.75482999902579 41.874130000230366, -87.75484999996893 41.87483999945928, -87.7548899997177 41.87573999977997, -87.75490000023703 41.87630999995823, -87.75489999957139 41.87633999939664, -87.75490999935175 41.876660000281674, -87.75492000055742 41.87691999957732, -87.75494999940275 41.877550000190226, -87.75498999997734 41.87847999949298, -87.75498999974658 41.87865999967421, -87.7550000001564 41.87885000080338, -87.75500000002762 41.87896999941673, -87.75500999967878 41.87937000011852, -87.75502999936472 41.87985999990146, -87.75506000060042 41.88037999990416, -87.75506999956431 41.880720000762295, -87.75508000010007 41.880830000068094, -87.75508000087387 41.8809300002336, -87.75511000012258 41.88173000035628, -87.75511000012845 41.88197000016379, -87.75511000033008 41.88203999999426, -87.75512000073105 41.88236999975434, -87.75516000083945 41.88275999989529, -87.75517999981398 41.8830099996093, -87.75519999926105 41.88372999958947, -87.75521999967793 41.884310000780616, -87.75523000043991 41.88462000020507, -87.75525000047494 41.88505000071754, -87.75527000065132 41.88564000006476, -87.75528000024615 41.88587999962591, -87.75528999977034 41.88606000039328, -87.75530999990565 41.88672999950027, -87.75533000044645 41.88719000013196, -87.75532999961641 41.887419999614735, -87.75534000015803 41.88762999971883, -87.75534999997178 41.887700000290984, -87.7553500005921 41.8877800001488, -87.75536000019387 41.88826000006284, -87.75536999966877 41.88852000059413, -87.7553800000457 41.88891999971099, -87.75539999949791 41.88929000022792, -87.7554100000884 41.88973999974524, -87.75541000028113 41.889800000291494, -87.75542000037089 41.89006999994287, -87.75545000012177 41.890789999813364, -87.75546000022334 41.8911500002127, -87.75547000042941 41.891310000628984, -87.75549000055078 41.89185999985503, -87.75553000047616 41.89300999946649, -87.75555999974938 41.893670000238934, -87.75558999944694 41.89441999987699, -87.75559999983777 41.894700000282974, -87.75560999929016 41.894939999441846, -87.75560999906708 41.895120000013144, -87.75560999921207 41.89521999992931, -87.75560999986413 41.89534000000891, -87.75562000018525 41.89561000028773, -87.75563000000243 41.89675000027326, -87.75566000035066 41.897499999499495, -87.75567999953701 41.8980400007277, -87.75567999974812 41.89813999969348, -87.75568999951122 41.89832000004928, -87.75570000050138 41.89858999928599, -87.75570000062919 41.89887000049855, -87.75570000038547 41.89909000034675, -87.75572999938714 41.90040999980808, -87.75574000031835 41.90139000041614, -87.7557500002382 41.90168999971164, -87.7557499996383 41.901940000561055, -87.75576000045895 41.90227000003987, -87.75576999989174 41.90258999942336, -87.75578000073774 41.90314000036005, -87.75580000010011 41.90404999990669, -87.75580999996598 41.90464000005828, -87.75583000042121 41.90529999957381, -87.75584999994105 41.905870000239645, -87.75586000034987 41.90623999973481, -87.75586000079038 41.906300000111564, -87.75588999948378 41.90769000011237, -87.75590999947934 41.90810999964925, -87.75591999987137 41.90845999977966, -87.75592000058695 41.90883000014072, -87.75589999982108 41.90899999958697, -87.75587000015527 41.90913999988865, -87.75585999992207 41.9091900003042, -87.75578999924477 41.909500000252564, -87.75571000027685 41.90978000009694, -87.75569999958849 41.90986999981491, -87.75569000006635 41.9099100001565, -87.75568000029315 41.90998999981931, -87.75567000025589 41.910059999422955, -87.75568000047954 41.910400000299184, -87.75570999951272 41.91132999961214, -87.75574000020931 41.91225000052572, -87.75577999972032 41.91315000015779, -87.75582999971482 41.91474000015053, -87.75583999982156 41.91526000068502, -87.75584999958484 41.915479999783436, -87.75585000043185 41.91556000015905, -87.75585000025225 41.91560000034343, -87.7558500000805 41.91563999962722, -87.75585000041283 41.915699999905854, -87.75586000017219 41.91586999965822, -87.75587000032644 41.9160999996796, -87.75588000005172 41.91644999932763, -87.75589000049905 41.91664000004836, -87.75590000001108 41.91693000029781, -87.75647999963114 41.91703999981002, -87.75686000008164 41.917119999834114, -87.75718000041311 41.91717999998375, -87.757430000237 41.917229999266596, -87.75759711668952 41.917258989948905), (-87.75759711668952 41.917258989948905, -87.75784147890273 41.91730137923075), (-87.75784147890273 41.91730137923075, -87.7584100005218 41.91740000053347), (-87.75784147890273 41.91730137923075, -87.75789616761702 41.9173993668907, -87.75790902754564 41.91754413980668, -87.75785092163356 41.91762509321836, -87.75770059117468 41.91766251848567, -87.75752239692605 41.91763577726658, -87.75750444074436 41.9175111670111, -87.75756723907523 41.91738188470201, -87.75759711668952 41.917258989948905))",57,LARAMIE
"MULTILINESTRING ((-87.59423000074659 41.70764000037677, -87.5933800002166 41.70764999941569, -87.59311000037164 41.70766000039894, -87.5929800002626 41.707660000267715, -87.59247000064607 41.70767000009049, -87.59194000029939 41.707680000065686, -87.59093000058563 41.707700000594656, -87.59026999976605 41.70772000053635, -87.58963000026041 41.70772999971458, -87.58859000062176 41.70774999980093, -87.58730000030211 41.70776000061625, -87.58629000043793 41.70777999996839, -87.58602999931773 41.70778999979133, -87.58571999950001 41.707790000220456, -87.58563999947222 41.70779000013687, -87.58445000035435 41.70780999958315, -87.58285000009 41.707840000450105, -87.58243000043632 41.70784999962026, -87.58215000009527 41.70785000006807, -87.581730000198 41.70784999991461, -87.58075999987774 41.707860000313), (-87.59423000074659 41.70764000037677, -87.59419999991432 41.70784999971517, -87.59410999966065 41.708280000218856, -87.59413000007181 41.709479999917164, -87.59411000033849 41.709590000426985, -87.59406999975764 41.709690000650916, -87.59387000037823 41.70994000056321, -87.59361000017714 41.71019000014742, -87.59346000022724 41.710339999705596), (-87.59423000074659 41.70764000037677, -87.59490999987077 41.707629999416994, -87.59514999966166 41.7076200004748, -87.59633999951416 41.70760000004676, -87.59894999975631 41.70755999982239, -87.60159000013839 41.707519999887644, -87.60178000038685 41.707520000405694, -87.60295000081857 41.707500000472514, -87.60313999982868 41.707499999634024, -87.60399999984514 41.70747999958373, -87.60412999962742 41.70747999984914, -87.60476000039772 41.707470000562196, -87.60505999969104 41.70746000025803, -87.60542000042953 41.70745000020369, -87.60564000005917 41.7074500006872, -87.60653999970222 41.70743000081696, -87.60685999941624 41.707430000227674, -87.6070199998686 41.70743000050296, -87.60719000016783 41.70742000034716, -87.60743999927377 41.707419999669824, -87.60792000056999 41.70742000010485, -87.60850999922751 41.70741000054044, -87.6088799994439 41.70739999959343, -87.60938000034811 41.70739000078927, -87.61008999910015 41.70737999993343, -87.61088999983801 41.7073700005191, -87.61131999958626 41.707370000124136, -87.61181999992925 41.70735999970113, -87.61252999917168 41.70733999960303, -87.61307000005313 41.707330000636766, -87.61335999980618 41.70733000009037, -87.61378000004628 41.70731999949429, -87.61418999990573 41.707310000507064, -87.6145600002659 41.70731000054936, -87.61496999997006 41.70729999967793, -87.61544999997855 41.70728999978523, -87.61577000025842 41.70729000049443, -87.61619999953007 41.70728999984022, -87.61651999981926 41.70729000026149, -87.61679000064865 41.70728000008743, -87.61693999934133 41.70727999981354, -87.61743000035236 41.70726999997353, -87.6178700000672 41.707260000073006, -87.61820000046197 41.707259999551795, -87.61864999901731 41.70725000036399, -87.61911000008782 41.70723999945666, -87.61954000025305 41.7072399998135, -87.61985000009678 41.70723999997116, -87.62022000011129 41.707239999791824, -87.6201700007694 41.70751999983498, -87.62015000046209 41.7076499994328, -87.62007000075403 41.70811999950031, -87.62002000004016 41.708359999732025, -87.61998999986697 41.70854999977316, -87.61992999991224 41.709060000154054, -87.619920000215 41.70924000059497, -87.61989999980509 41.70992999928982, -87.61989000057633 41.7102799996965, -87.61989000000057 41.710479999889905, -87.61989999970213 41.71085000001382, -87.61993999966433 41.71120000014953, -87.62001999976546 41.711770000043224, -87.62009000019583 41.71230000022107, -87.62013999945317 41.71266999997323, -87.62020999926679 41.71314999996968, -87.62023999950567 41.71335999933015, -87.62024999961666 41.713430000014185, -87.62027000000715 41.71361000013543, -87.62028999933257 41.713799999705095, -87.62032000009492 41.71400999992574, -87.62042999931916 41.71469999978325, -87.62045999990677 41.71495000048409, -87.62048000047233 41.71519999945653, -87.62048000035891 41.71540999984812, -87.62048000012513 41.71630999989851, -87.62048000030838 41.71659000006745, -87.62050999960353 41.71731999987478, -87.62051000014823 41.717889999560335, -87.62051000031953 41.7181599992966, -87.62050999996502 41.718329999954896, -87.62052000094594 41.71860999993933, -87.62052000030067 41.71872000024889, -87.62053000031342 41.7190300003734, -87.62056000075337 41.71995000029233, -87.62057000020964 41.72053999942292, -87.6205799990482 41.72143999947922, -87.62058999974207 41.721780000510726, -87.62075999987711 41.72178000051808, -87.62165000066358 41.72177000017887, -87.62219999980404 41.72176000063898, -87.6224799995352 41.72175999992692, -87.62275000000234 41.72174999937284, -87.62311999945483 41.72173000008873, -87.62342999997355 41.721720000257626, -87.62367999999186 41.7217100000044, -87.62373000033509 41.721709999960844, -87.62416000027328 41.72169999993857, -87.62438999941106 41.721700000202745, -87.62458999955044 41.72170000045515, -87.62486356544967 41.72149315125773, -87.62485675670625 41.72094016279831, -87.62483599292719 41.72081102598846, -87.62393510588913 41.72083161173192, -87.62376317926766 41.720883074790336, -87.62381286133171 41.72170703261892), (-87.59346000022724 41.710339999705596, -87.59327000046986 41.71053000041937, -87.59312999990482 41.71076000020585, -87.59279000010547 41.71176000034385, -87.59238999950819 41.711669999983194, -87.59208999992853 41.711670000113735, -87.59181999947654 41.71166999946612, -87.59148999958113 41.711669999818, -87.59101000080037 41.71168000039654, -87.590719999952 41.71168999977525, -87.59038000004782 41.71143999983705, -87.59035999977336 41.71109000015447, -87.59035000043401 41.71080000065347, -87.5903399999745 41.71051000022972, -87.59033999940954 41.7104199996673, -87.59031999945921 41.70993999970243, -87.59032000029279 41.709860000403914, -87.5903099997919 41.709679999429156, -87.5909700005171 41.709670000562035, -87.59098999984177 41.71017000026552, -87.59146000029459 41.71017000038997, -87.59146000001725 41.710129999836376, -87.591790000445 41.71012999956074, -87.5917899998625 41.71022999958627, -87.59218999958003 41.71022999966895, -87.59226999954612 41.71023999916133, -87.59231999998633 41.71029999964476, -87.59232999941062 41.71037000003882, -87.59270999980443 41.710200000029985, -87.59299999995463 41.71051000002598, -87.59304999940133 41.710520000170874, -87.59335000000445 41.71028999998432, -87.59346000022724 41.710339999705596))",106,EAST 103RD
