DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location
W,Pulaski (Harlem-bound),Pulaski,Pulaski (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.885412, -87.725404)"
W,Cicero (Forest Pk-bound),Cicero,Cicero (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.871574, -87.745154)"
N,Jackson/State (Howard-bound),Jackson,Jackson (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.878153, -87.627596)"
S,Argyle (95th-bound),Argyle,Argyle (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.973453, -87.65853)"
N,Irving Park (Kimball-bound),Irving Park,Irving Park (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.954521, -87.674868)"
N,Roosevelt (Loop-Harlem-bound),Roosevelt,"Roosevelt (Red, Orange & Green lines)",1,0,0,1,0,0,0,0,0,1,"(41.867405, -87.62659)"
N,Midway (Loop-bound),Midway,Midway (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.78661, -87.737875)"
N,Dempster-Skokie (Arrival),Dempster-Skokie,Dempster-Skokie  (Yellow Line),1,0,0,0,0,0,0,1,0,0,"(42.038951, -87.751919)"
N,Francisco (Kimball-bound),Francisco,Francisco (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.966046, -87.701644)"
E,LaSalle/Van Buren (Outer Loop),LaSalle/Van Buren,"LaSalle/Van Buren (Brown, Orange, Purple & Pink lines)",0,0,0,0,1,0,0,0,0,0,"(41.8768, -87.631739)"
S,Harlem (O'Hare Branch) (Forest Pk-bound),Harlem,Harlem (Blue Line - O'Hare Branch),1,0,1,0,0,0,0,0,0,0,"(41.98227, -87.8089)"
S,Belmont (O'Hare Branch) (Forest Pk-bound),Belmont,Belmont (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.938132, -87.712359)"
E,California (Loop-bound),California,California (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.854109, -87.694774)"
E,Western (Loop-bound),Western,Western (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.854225, -87.685129)"
S,69th (95th-bound),69th,69th (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.768367, -87.625724)"
N,Washington/Wells (Inner Loop),Washington/Wells,"Washington/Wells (Brown, Orange, Purple & Pink lines)",1,0,0,0,0,0,1,0,1,1,"(41.882695, -87.63378)"
S,Harrison (95th-bound),Harrison,Harrison (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.874039, -87.627479)"
E,Clinton (Loop-63rd-bound),Clinton,Clinton (Green & Pink lines),1,0,0,1,0,0,0,0,1,0,"(41.885678, -87.641782)"
S,Sheridan (Loop-bound),Sheridan,Sheridan (Red Line),0,0,0,0,0,0,0,0,0,0,"(41.953775, -87.654929)"
S,Belmont (Loop-bound),Belmont,"Belmont (Red, Brown & Purple lines)",1,0,0,0,1,0,1,0,0,0,"(41.939751, -87.65338)"
S,Central (Howard-Loop-bound),Central,Central (Purple Line),0,0,0,0,0,1,1,0,0,0,"(42.063987, -87.685617)"
N,Linden (Linden-bound),Linden,Linden (Purple Line),1,0,0,0,0,1,1,0,0,0,"(42.073153, -87.69073)"
S,Kedzie (Midway-bound),Kedzie,Kedzie (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.804236, -87.704406)"
S,Kimball (Loop-bound),Kimball,Kimball (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.967901, -87.713065)"
S,63rd (95th-bound),63rd,63rd (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.780536, -87.630952)"
S,Fullerton (95th-bound),Fullerton,"Fullerton (Red, Brown & Purple lines)",1,1,0,0,0,0,0,0,0,0,"(41.925051, -87.652866)"
S,Addison (Loop-bound),Addison,Addison (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.947028, -87.674642)"
S,Howard (95th-Bound),Howard,"Howard (Red, Purple & Yellow lines)",1,1,0,0,0,0,0,0,0,0,"(42.019063, -87.672892)"
S,47th (95th-bound),47th,47th (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.810318, -87.63094)"
S,Cermak-McCormick Place (63rd-bound),Cermak-McCormick Place,Cermak-McCormick Place (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.853115, -87.626402)"
W,Kedzie (Harlem-bound),Kedzie,Kedzie (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.884321, -87.706155)"
E,Harlem (Forest Pk Branch) (O'Hare-bound),Harlem,Harlem (Blue Line - Forest Park Branch),0,0,1,0,0,0,0,0,0,0,"(41.87349, -87.806961)"
E,Ashland/63rd (Harlem-bound),Ashland/63rd,Ashland/63rd (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.77886, -87.663766)"
E,Ridgeland (63rd-bound),Ridgeland,Ridgeland (Green Line),0,0,0,1,0,0,0,0,0,0,"(41.887159, -87.783661)"
S,Oakton-Skokie (Howard-bound),Oakton-Skokie,Oakton-Skokie (Yellow Line),1,0,0,0,0,0,0,1,0,0,"(42.02624348, -87.74722084)"
E,Cottage Grove (Terminal arrival),Cottage Grove,Cottage Grove (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.780309, -87.605857)"
S,Clark/Division (95th-bound),Clark/Division,Clark/Division (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.90392, -87.631412)"
N,Loyola (Howard-bound),Loyola,Loyola (Red Line),1,1,0,0,0,0,0,0,0,0,"(42.001073, -87.661061)"
E,Morgan (Loop-63rd-bound),Morgan,Morgan (Green & Pink lines),1,0,0,1,0,0,0,0,1,0,"(41.885586, -87.652193)"
S,Damen (Loop-bound),Damen,Damen (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.966286, -87.678639)"
N,Ashland (Loop-bound),Ashland,Ashland (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.839234, -87.665317)"
N,Adams/Wabash (Outer Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",0,0,0,1,1,0,0,0,0,0,"(41.879507, -87.626037)"
S,Rosemont (Forest Pk-bound),Rosemont,Rosemont (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.983507, -87.859388)"
N,Indiana (Harlem-bound),Indiana,Indiana (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.821732, -87.621371)"
W,Kostner (54th/Cermak-bound),Kostner,Kostner (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.853751, -87.733258)"
N,Berwyn (Howard-bound),Berwyn,Berwyn (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.977984, -87.658668)"
N,Diversey (Kimball-Linden-bound),Diversey,Diversey (Brown & Purple lines),1,0,0,0,1,0,1,0,0,0,"(41.932732, -87.653131)"
N,Jefferson Park (O'Hare-bound),Jefferson Park,Jefferson Park (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.970634, -87.760892)"
E,Halsted/63rd (Harlem-bound),Halsted,Halsted (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.778943, -87.644244)"
N,87th (Howard-bound),87th,87th (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.735372, -87.624717)"
S,47th (63rd-bound),47th,47th (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.809209, -87.618826)"
N,Chicago (O'Hare-bound),Chicago,Chicago (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.896075, -87.655214)"
S,Western (Loop-bound),Western,Western (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.966163, -87.688502)"
W,Forest Park (Terminal Arrival),Forest Park,Forest Park (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.874257, -87.817318)"
S,California (Forest Pk-bound),California,California  (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.921939, -87.69689)"
S,Paulina (Loop-bound),Paulina,Paulina (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.943623, -87.670907)"
N,Quincy/Wells (Inner Loop),Quincy/Wells,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",1,0,0,0,0,0,1,0,1,1,"(41.878723, -87.63374)"
S,Merchandise Mart (Loop-bound),Merchandise Mart,Merchandise Mart (Brown & Purple lines),1,0,0,0,1,0,1,0,0,0,"(41.888969, -87.633924)"
W,State/Lake (Outer Loop),State/Lake,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",0,0,0,1,1,0,0,0,0,0,"(41.88574, -87.627835)"
E,Cicero (63rd-bound),Cicero,Cicero (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.886519, -87.744698)"
S,Montrose (Forest Pk-bound),Montrose,Montrose (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.961539, -87.743574)"
E,Western (Forest Pk Branch) (O'Hare-bound),Western,Western (Blue Line - Forest Park Branch),0,0,1,0,0,0,0,0,0,0,"(41.875478, -87.688436)"
N,Harrison (Howard-bound),Harrison,Harrison (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.874039, -87.627479)"
N,Armitage (Kimball-Linden-bound),Armitage,Armitage (Brown & Purple lines),1,0,0,0,1,0,1,0,0,0,"(41.918217, -87.652644)"
N,Jarvis (Howard-bound),Jarvis,Jarvis (Red Line),0,1,0,0,0,0,0,0,0,0,"(42.015876, -87.669092)"
S,Sheridan (95th-bound),Sheridan,Sheridan (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.953775, -87.654929)"
E,Harlem (63rd-bound),Harlem/Lake,Harlem/Lake (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.886848, -87.803176)"
N,Addison (Kimball-bound),Addison,Addison (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.947028, -87.674642)"
N,Belmont (Howard-bound),Belmont,"Belmont (Red, Brown & Purple lines)",1,1,0,0,0,0,0,0,0,0,"(41.939751, -87.65338)"
W,Laramie (Harlem-bound),Laramie,Laramie (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.887163, -87.754986)"
N,Kimball (Terminal arrival),Kimball,Kimball (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.967901, -87.713065)"
N,69th (Howard-bound),69th,69th (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.768367, -87.625724)"
E,State/Lake (Inner Loop),State/Lake,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",0,0,0,1,0,0,1,0,1,1,"(41.88574, -87.627835)"
N,Monroe (O'Hare-bound),Monroe,Monroe (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.880703, -87.629378)"
E,Damen (Loop-bound),Damen,Damen (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.854517, -87.675975)"
E,Pulaski (O'Hare-bound),Pulaski,Pulaski (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.873797, -87.725663)"
S,Pulaski (Midway-bound),Pulaski,Pulaski (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.799756, -87.724493)"
N,35-Bronzeville-IIT (Harlem-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.831677, -87.625826)"
W,Western (54th/Cermak-bound),Western,Western (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.854225, -87.685129)"
N,Fullerton (Kimball-Linden-bound),Fullerton,"Fullerton (Red, Brown & Purple lines)",1,0,0,0,1,0,1,0,0,0,"(41.925051, -87.652866)"
S,Granville (95th-bound),Granville,Granville (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.993664, -87.659202)"
S,Southport (Loop-bound),Southport,Southport (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.943744, -87.663619)"
S,Chicago (95th-bound),Chicago,Chicago (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.896671, -87.628176)"
W,LaSalle/Van Buren (Inner Loop),LaSalle/Van Buren,"LaSalle/Van Buren (Brown, Orange, Purple & Pink lines)",0,0,0,0,0,0,1,0,1,1,"(41.8768, -87.631739)"
W,Clinton (Harlem-54th/Cermak-bound),Clinton,Clinton (Green & Pink lines),1,0,0,1,0,0,0,0,1,0,"(41.885678, -87.641782)"
S,Washington/Wells (Outer Loop),Washington/Wells,"Washington/Wells (Brown, Orange, Purple & Pink lines)",1,0,0,0,1,0,0,0,0,0,"(41.882695, -87.63378)"
S,Garfield (95th-bound),Garfield,Garfield (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.79542, -87.631157)"
W,Austin (Harlem-bound),Austin,Austin (Green Line),0,0,0,1,0,0,0,0,0,0,"(41.887293, -87.774135)"
E,54th/Cermak (Loop-bound),54th/Cermak,54th/Cermak (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.85177331, -87.75669201)"
S,Irving Park (Loop-bound),Irving Park,Irving Park (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.954521, -87.674868)"
N,Logan Square (O'Hare-bound),Logan Square,Logan Square (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.929728, -87.708541)"
W,Central Park (54th/Cermak-bound),Central Park,Central Park (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.853839, -87.714842)"
W,California (54th/Cermak-bound),California,California (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.854109, -87.694774)"
E,Kedzie (Loop-bound),Kedzie,Kedzie (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.853964, -87.705408)"
W,UIC-Halsted (Forest Pk-bound),UIC-Halsted,UIC-Halsted (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.875474, -87.649707)"
E,Clark/Lake (Inner Loop),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",1,0,0,1,0,0,1,0,1,1,"(41.885737, -87.630886)"
N,Dempster (Linden-bound),Dempster,Dempster (Purple Line),0,0,0,0,0,1,1,0,0,0,"(42.041655, -87.681602)"
S,Roosevelt (Midway-63rd-bound),Roosevelt,"Roosevelt (Red, Orange & Green lines)",1,0,0,1,0,0,0,0,0,1,"(41.867405, -87.62659)"
E,Oak Park (O'Hare-bound),Oak Park,Oak Park (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.872108, -87.791602)"
S,Francisco (Loop-bound),Francisco,Francisco (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.966046, -87.701644)"
W,Cicero (Harlem-bound),Cicero,Cicero (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.886519, -87.744698)"
N,Montrose (O'Hare-bound),Montrose,Montrose (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.961539, -87.743574)"
N,North/Clybourn (Howard-bound),North/Clybourn,North/Clybourn (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.910655, -87.649177)"
S,O'Hare (Forest Pk-bound),O'Hare,O'Hare (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.97766526, -87.90422307)"
S,Cumberland (Forest Pk-bound),Cumberland,Cumberland (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.984246, -87.838028)"
W,Damen (Harlem-bound),Damen,Damen (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.88497405, -87.67689149)"
E,Damen (63rd-bound),Damen,Damen (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.88497405, -87.67689149)"
