Price,Address,Listing URL,Short Address,Zip,Beds,Baths,Raw Property Details,Latitude,Longitude
950.0,"5455 S Blackstone Ave, Chicago, IL 60615",https://zillow.com//apartments/chicago-il/ivy-tower/Cjqrq2/,5455 S  Blackstone Ave # 3I,60615,0.0,1.0,Studio ,41.796432,-87.58997
950.0,"Latrobe Properties, 1549 N Latrobe Ave APT 3, Chicago, IL 60651",https://www.zillow.com/b/latrobe-properties-chicago-il-9S5g5J/,1549 N Latrobe Ave APT 3,60651,1.0,1.0,1 bds | 1 ba | 797 sqft,41.90904,-87.75698
950.0,"6920 S Parnell Ave, Chicago, IL 60621","https://zillow.com//b/building/41.768223,-87.63879_ll/",6920 S  Parnell Ave  ,60621,2.0,1.0,2 bds ,41.768223,-87.63879
950.0,"7150 S Cornell Ave APT 1E, Chicago, IL 60649",https://www.zillow.com/homedetails/7150-S-Cornell-Ave-APT-1E-Chicago-IL-60649/2095144830_zpid/,7150 S Cornell Ave APT 1E,60649,0.0,1.0,Studio | 1 ba | 425 sqft,41.76453,-87.58506
950.0,"5448 W Congress Pkwy, Chicago, IL 60644",https://www.zillow.com/homedetails/5448-W-Congress-Pkwy-Chicago-IL-60644/2098747941_zpid/,5448 W Congress Pkwy,60644,0.0,1.0,Studio | 1 ba | 700 sqft,41.874134,-87.76139
950.0,"12013 S Eggleston Ave APT 103, Chicago, IL 60628",https://www.zillow.com/homedetails/12013-S-Eggleston-Ave-APT-103-Chicago-IL-60628/2100484764_zpid/,12013 S Eggleston Ave APT 103,60628,1.0,1.0,1 bds | 1 ba ,41.675587,-87.633064
950.0,"8101 S Ingleside Ave #0, Chicago, IL 60619",https://www.zillow.com/homedetails/8101-S-Ingleside-Ave-0-Chicago-IL-60619/447230283_zpid/,8101 S Ingleside Ave #0,60619,0.0,1.0,Studio | 1 ba ,41.747215,-87.60109
950.0,"11211 S King Dr W UNIT 2, Chicago, IL 60628",https://www.zillow.com/homedetails/11211-S-King-Dr-W-UNIT-2-Chicago-IL-60628/2059762949_zpid/,11211 S King Dr W UNIT 2,60628,0.0,1.0,Studio | 1 ba ,41.69071,-87.613335
955.0,"7934 S Wabash Ave, Chicago, IL 60619",https://zillow.com//apartments/chicago-il/7934-42-s-wabash/5XfmcM/,7934 S  Wabash Ave  # 7938-2B,60619,1.0,1.0,1 bds ,41.749817,-87.62344
965.0,"The Sovereign, 1040 W Granville Ave APT 711, Chicago, IL 60660",https://www.zillow.com/apartments/chicago-il/the-sovereign/5XjBTj/,1040 W Granville Ave APT 711,60660,0.0,1.0,Studio | 1 ba | 358 sqft,41.99514,-87.65727
965.0,"4720 S Drexel Blvd, Chicago, IL 60615",https://zillow.com//apartments/chicago-il/4720-s-drexel-blvd/5XcysC/,4720 S  Drexel Blvd # 4722H-3B,60615,0.0,1.0,Studio ,41.808784,-87.60488
965.0,"6821 N Sheridan Road, 6821 N Sheridan Rd, Chicago, IL 60626",https://www.zillow.com/apartments/chicago-il/6821-n-sheridan-road/CjFKry/,6821 N Sheridan Rd #0B-1BA,60626,0.0,1.0,Studio | 1 ba ,42.006214,-87.660774
965.0,"11106 S Parnell Ave #2N, Chicago, IL 60628",https://www.zillow.com/homedetails/11106-S-Parnell-Ave-2N-Chicago-IL-60628/446767025_zpid/,11106 S Parnell Ave #2N,60628,1.0,1.0,1 bds | 1 ba | 750 sqft,41.69227,-87.636536
965.0,"3503 W 26th St UNIT 11, Chicago, IL 60623",https://www.zillow.com/homedetails/3503-W-26th-St-UNIT-11-Chicago-IL-60623/447553996_zpid/,3503 W 26th St UNIT 11,60623,1.0,1.0,1 bds | 1 ba | 600 sqft,41.844433,-87.712456
965.0,"3505 W 26th St, Chicago, IL 60623",https://www.zillow.com/homedetails/3505-W-26th-St-Chicago-IL-60623/2084767367_zpid/,3505 W 26th St,60623,1.0,1.0,1 bds | 1 ba | 100 sqft,41.84443,-87.71253
966.0,"Midwest Apartments, 6 N Hamlin Blvd, Chicago, IL 60624",https://www.zillow.com/apartments/chicago-il/midwest-apartments/5Xfmg5/,6 N Hamlin Blvd #99709944B,60624,0.0,1.0,Studio | 1 ba ,41.88113,-87.72104
969.0,"5401 S Cornell Ave, Chicago, IL 60615",https://zillow.com//apartments/chicago-il/5401-cornell-by-3l-living/9RynLr/,5401 S  Cornell Ave # 507,60615,0.0,1.0,Studio ,41.797966,-87.58507
