ID,Station Name,Short Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
a3ad8aa3-a135-11e9-9cda-0a87ae2ba916,Harper Ave & 59th St,KA1503000070,15,15,In Service,41.7879428129,-87.5883151702,POINT (-87.5883151702 41.78794281287)
1963671811736140038,Kedzie Ave & 60th St,24273,15,15,In Service,41.78458,-87.70319,POINT (-87.70319 41.78458)
1866477298337982542,Leavitt St/North Ave,PI00003,4,4,In Service,41.910077,-87.682306,POINT (-87.682306 41.910077)
1594046418168009438,Albany Ave & Belmont Ave,,9,9,In Service,41.939638,-87.705263,POINT (-87.705263 41.939638)
1ce9b7b2-6ef1-4e3b-abd4-85dedaf0ee65,State St & Chicago Ave,21544,15,15,In Service,41.8966172004,-87.6285785437,POINT (-87.628578543663 41.896617200408)
1943244520961310788,California Ave & 41st St,24244,15,15,In Service,41.81867,-87.69441,POINT (-87.69441 41.81867)
a3b453f2-a135-11e9-9cda-0a87ae2ba916,Carpenter St & 63rd St,18025,7,7,In Service,41.77987,-87.650919,POINT (-87.650919 41.77987)
a3a88f84-a135-11e9-9cda-0a87ae2ba916,Shore Dr & 55th St,TA1308000009,19,19,In Service,41.795212,-87.580715,POINT (-87.580715 41.795212)
1571105055115583500,Roscoe & Harlem,,9,9,In Service,41.9416062,-87.8072964,POINT (-87.8072964 41.9416062)
7c56e4d5-92ee-4129-9a3a-d2ce89eab31d,Burnham Greenway & 112th St,20219,15,15,In Service,41.6917738512,-87.5304311514,POINT (-87.53043115139 41.691773851168)
1448642175142467180,S Michigan Ave & E 118th St,,6,6,In Service,41.679804,-87.620843,POINT (-87.620843 41.679804)
a3ae8d13-a135-11e9-9cda-0a87ae2ba916,Western Ave & Granville Ave,KA1504000129,11,11,In Service,41.994161369,-87.689438282,POINT (-87.689438282 41.99416136902)
1594046435347878642,Virginia Ave & Catalpa Ave,,9,9,In Service,41.9812456,-87.7048924,POINT (-87.7048924 41.9812456)
a3b0ccad-a135-11e9-9cda-0a87ae2ba916,Ridge Blvd & Howard St,514,11,11,In Service,42.019276,-87.68452,POINT (-87.68452 42.019276)
1966307477149012058,Mozart St & 55th St,24267,11,11,In Service,41.79375,-87.69472,POINT (-87.69472 41.79375)
1563698701206292480,Lamon Ave & Belmont Ave,,9,9,In Service,41.9390108,-87.7492834,POINT (-87.7492834 41.9390108)
